"channelId","customUrl","title","country","viewCount","subscriberCount","videoCount","madeForkids","creationDate"
"UChqZBYJlaoQE46g2twEsTDg","@dianaasmr4363","Diana ASMR","n/a","943","8","16","n/a","2019-12-27T12:28:46.431266Z"
"UCLcyg3kjSwlUxjnQhSMqfmg","@scottishmurmurs","Scottish Murmurs ASMR","GB","148837938","442000","923","False","2016-07-18T16:41:06Z"
"UCQzay2UPI_n-NFGz0Sa8NBw","@jodiemarieasmr","Jodie Marie ASMR","n/a","21866546","119000","741","False","2018-12-04T21:59:30Z"
"UC6t5_BHeMjMTZF-67Tc1aEg","@belleasmr","ASMR Belle","n/a","4171429","65600","112","n/a","2021-02-08T12:19:04.851441Z"
"UC7veOG6pUDXDPpkp5tFBRtw","@lizzielestrangeasmr","LizzieLestrange ASMR","GB","8507081","63000","135","n/a","2020-11-12T12:08:21.470275Z"
"UCefnd-xkl95_wsIIAe2Fmaw","@asmrizak","ASMR Izak","GB","37949116","242000","768","False","2017-01-09T17:00:21Z"
"UC-MtmLd4PbmNuRaasDgBFBA","@asmrshortbread","ASMR Shortbread","GB","22737040","142000","222","False","2009-12-28T18:21:12Z"
"UCphVSx-Rs3WTWfl1TRVRPwA","@caringwhispers_asmr","Caring Whispers ASMR","GB","1711233","36700","482","n/a","2014-09-01T14:47:57Z"
"UC6ubm-rK9tdwfUhqvIDPddg","@misschloeasmr","Miss Chloe ASMR","GB","15225913","87700","448","False","2014-07-15T19:33:44Z"
"UCExp9y-lrASQjmSfr5Uz8qQ","@asmreliza","ASMR Eliza","GB","17612758","102000","173","n/a","2020-07-03T00:36:55.925758Z"
"UC_2WIOsigsolWbjvPk5s_5A","@asmrkim8851","Asmr Kim8","GB","340822","9310","141","False","2021-03-17T16:27:45.635993Z"
"UCSXC_IyhEq7i90M_4ZGEq1g","@bedtimeasmr","Bedtime ASMR","GB","1368416","17100","278","False","2020-03-18T16:19:00.099757Z"
"UCrPnOQ8hk9plcjvKWuYHPpQ","@jessicariversasmr","Jessica Rivers ASMR","n/a","441339","11400","7","n/a","2022-10-05T23:24:39.551326Z"
"UC53vVuTxfTUPZSZVPW1iitg","@brightgreyasmr","Bright Grey ASMR","GB","14516753","76100","123","False","2016-11-19T21:13:41Z"
"UCyuOzdWYgnZFwd6jHCJ3GaA","@daisybanaisyasmr","Daisy Banaisy ASMR","GB","9321627","62400","175","False","2017-01-17T18:35:07Z"
"UC8OwlKvwoxQ-aMobz1oUriQ","@lauralemurexasmr","LauraLemurex ASMR","US","49025583","185000","519","False","2011-11-14T20:23:18Z"
"UCF5KYharGnPAHlvmvAGsATw","@mrphoenixasmr","Mr Phoenix ASMR","GB","17145590","91900","577","False","2018-02-07T01:40:34Z"
"UCE3IMKezXOe1nRM0Jxngm_Q","@allsortsasmr","AllSorts ASMR","GB","1984097","18300","225","n/a","2016-06-09T09:54:23Z"
"UC0ySiB9h_fAkQAnSVUoB6rA","@cherylasmr","Cheryl ASMR","GB","565269","6480","286","False","2016-03-11T18:02:54Z"
"UCU2gMPY0tjN7ZLKQx6E9cNg","@eddiedoesasmr6943","Eddie Does ASMR","CA","3074748","22400","221","False","2017-08-28T05:21:04Z"
"UC4KUHVytd6B0gi_djyQNKCg","@chillaxinasmr","chillaxin asmr","GB","4669304","65900","137","False","2018-02-09T14:21:12Z"
"UCEk77oFVAHsG8L2i33eZngw","@alsomayaasmr","Also Maya ASMR","GB","5293235","48500","157","False","2020-11-15T16:15:35.703797Z"
"UCjaUcJsO7B7_4gxAvlTBYLQ","@bryoniasmr","Bryoni ASMR","GB","1549455","12300","446","False","2019-05-25T15:46:58Z"
"UCT78l8tL09qAV-zKtqYieDg","@asmralice245","ASMR Alice","n/a","1581673","5740","131","n/a","2020-05-18T09:52:22.719428Z"
"UCrXkr7EeXQHBy1THMnFUe2Q","@asmrisawesome","ASMR Is Awesome","GB","4060914","28800","283","n/a","2015-02-01T15:26:56Z"
"UCXhBjCNeOcCKr8XD_lrQV1Q","@luvlucylou","ASMR Angelic","n/a","108844","2010","248","n/a","2007-10-07T08:55:19Z"
"UCBJVewkMooCumWWRkIXvYlA","@silentlyasmr","Silently Asmr","GB","28672477","337000","58","n/a","2020-07-16T13:49:16.574903Z"
"UCJfmttyUzvJcQpBRm5CYymw","@aligasmr","Ali G ASMR","GB","482208","5040","210","False","2021-10-25T14:15:08.795189Z"
"UC1RD3Qkyakki3VNbc4iILLw","@poppyasmr","Pop and Mom ASMR","n/a","807680","6190","83","n/a","2020-01-19T19:12:58.022491Z"
"UCguB6MIQfVAeIU7fARdcLOw","@lunamoon_asmr","Luna Moon ASMR","n/a","157057","1690","76","n/a","2017-12-27T16:55:48Z"
"UCz8hqZBa8bOthT5PE3TdUmg","@missmanganese","Miss Manganese ASMR","GB","69658048","277000","240","False","2020-03-20T22:28:44.972428Z"
"UCTuESvuA3MCIz9_MRhEEBug","@ceriasmr","Ceri ASMR","n/a","3259940","27900","57","n/a","2021-09-20T03:27:16.051805Z"
"UCIpvb6A5yOkgjZ64ZB8qB_g","@greenleafaudiosasmr9555","Green Leaf Audios ASMR","GB","3543812","28900","109","n/a","2022-03-22T16:15:07.091975Z"
"UC9P8exzkFrPVdQq5trHGhAw","@relaxingnaturesounds03","Tiktok Asmr Relax","n/a","2536","3540","31","n/a","2021-08-04T22:02:32.656994Z"
"UCPp5I1iGS0XRz5GZ8tQU8KA","@asmrsoda","SODÁ ASMR","VN","886756","9660","93","False","2016-02-19T14:12:32Z"
"UCrHHD-_FVtx42-94HINfdAQ","@kynieasmr","Kynie ASMR","n/a","176465","2050","47","n/a","2017-03-20T16:59:56Z"
"UCpMjLi8oLUKYupw8yi6mvrA","@calamityasmr","Calamity ASMR","GB","2624146","21700","213","False","2020-11-19T07:24:58.479022Z"
"UCfxzpCXkE3IkpuAJ7oXi3jg","@asmrattack","Lady ASMR","GB","6279749","33800","657","False","2014-01-04T14:56:28Z"
"UC0leze9W0WNtt5j6LPBZm3A","@aasmr158","A ASMR","n/a","515812","7920","12","n/a","2019-06-09T00:34:50Z"
"UC8s_XFu6ep-kh40PbHha5sw","@maxs_asmr","Max's ASMR ","n/a","95042","1210","102","False","2022-02-03T06:40:35.666626Z"
"UCvfRp4OJcqE9uerZtowhtpA","@asmrmaguk","ASMR MAG UK","GB","15595653","174000","169","False","2019-06-21T21:18:18Z"
"UCR9Adg0fmnpa6FXOr3Z-7XQ","@asmr.lovesmesand8738","Asmr.lovesmesand","n/a","4661654","8960","371","n/a","2020-03-05T21:14:07.82815Z"
"UCIRcAdjQNE0tupMtfq9YhZQ","@xelaasmr","Xela ASMR","n/a","1047444","10400","105","n/a","2021-01-09T19:36:20.35307Z"
"UCgkqAiGw1cHD4oc_96S4tnA","@asmrwithmeg2104","ASMR with Meg","GB","26590","483","44","n/a","2022-03-22T12:38:21.299214Z"
"UCE0syqEmsR1Ys-92jSPQO6w","@hairyhands","Hairy Hands 𝗔𝗦𝗠𝗥 𝘀𝗵𝗼𝘄","GB","11152267","45700","2538","False","2016-01-04T09:35:40Z"
"UCZkGF02I8R7tXFcwSKPWiaw","@asmrfar","ASMR FAR","n/a","2124644","2560","218","n/a","2019-05-25T18:24:48Z"
"UCQjzcbuFT2z-yhcvfRRyXkg","@saffronasmr5643","Saffron ASMR","n/a","120365","3120","21","n/a","2021-12-28T05:11:54.775713Z"
"UCkbH4LmP0A5tCskCg-j8q4Q","@dublrasmr1498","dublr ASMR","n/a","37127575","310000","131","n/a","2019-08-21T13:08:59Z"
"UCtbdboqDep1QoZOrNIigMVQ","@cashmereasmr","Cashmere ASMR","GB","25782566","164000","154","n/a","2014-12-03T20:24:48Z"
"UCKB31VWq_2E9EGJMGU0Zx-A","@asmrboyfriend","ASMR Boyfriend","GB","26692084","114000","408","False","2020-09-26T19:45:19.73629Z"
